LOCATION,LAT,LONG,POPULATION
ARGENTINA/BUENOS AIRES,-36.660032,-60.66261,15625084
ARGENTINA/CABA,-34.607237,-58.439814,2890151
ARGENTINA/CATAMARCA,-27.167167,-67.108409,367828
ARGENTINA/CHACO,-26.853952000000003,-60.56055799999999,1055259
ARGENTINA/CHUBUT,-43.910641,-68.701166,509108
ARGENTINA/CORDOBA,-32.352571000000005,-63.636729,3308876
ARGENTINA/CORRIENTES,-28.989386,-58.01173000000001,992595
ARGENTINA/ENTRE RIOS,-32.352571000000005,-59.15430799999999,1235994
ARGENTINA/FORMOSA,-24.996496,-59.63770600000001,530162
ARGENTINA/JUJUY,-22.848577,-66.119093,673307
ARGENTINA/LA PAMPA,-37.187001,-65.174815,318951
ARGENTINA/LA RIOJA,-29.869689,-66.844737,333642
ARGENTINA/MENDOZA,-34.624604,-68.646495,1738929
ARGENTINA/MISIONES,-27.036593,-54.593773999999996,1101593
ARGENTINA/NEUQUEN,-38.6087,-69.657237,551266
ARGENTINA/RAO NEGRO,-40.606014,-67.108409,638645
ARGENTINA/SALTA,-25.009185000000002,-64.700826,1214441
ARGENTINA/SAN JUAN,-31.006317,-68.558604,681055
ARGENTINA/SAN LUIS,-33.898216999999995,-65.96583100000001,432310
ARGENTINA/SANTA CRUZ,-48.806288,-69.78864200000001,273964
ARGENTINA/SANTA FE,-31.302660999999997,-61.250071,3194537
ARGENTINA/SANTIAGO DEL ESTERO,-27.868685,-63.241222,874006
ARGENTINA/TIERRA DEL FUEGO,-54.336053,-67.679698,127205
ARGENTINA/TUCUMAN,-27.127004,-65.306736,1448188
